"","TX202145335","TX240130218","TX240130255","TX252145317","TX263105336","TX263105978","TX272136690","TX272136698","TX272136699","TX279103530","TX279103554","TX279103561","TX279103567","TX279103583","TX279103586","TX281118809","TX281118812","TX281118835"
"ASV480",0,0,0,20,28,0,0,0,0,0,0,0,0,0,0,0,0,37
"ASV482",16,31,0,0,16,21,0,0,0,0,0,0,0,0,0,0,0,0
"ASV483",0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,57,13
"ASV485",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,55,0
"ASV489",16,0,0,7,0,17,0,0,0,0,0,0,0,43,0,0,0,0
"ASV493",0,0,0,0,0,30,0,0,0,0,0,0,0,0,11,0,0,42
"ASV494",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,69
"ASV496",0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
"ASV498",0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,15
"ASV500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,77
"ASV503",0,0,0,0,7,0,75,0,0,0,0,0,0,0,0,0,0,0
"ASV504",0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,44
"ASV506",0,0,0,0,0,0,0,0,72,0,0,0,0,0,10,0,0,0
"ASV507",0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0
"ASV508",0,0,0,0,0,0,0,0,46,0,36,0,0,0,0,0,0,0
"ASV517",0,0,0,0,0,0,42,17,0,0,0,0,0,0,21,0,0,0
"ASV518",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
"ASV520",0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,27
"ASV522",0,0,0,0,0,0,0,0,0,0,40,0,0,40,0,0,0,0
"ASV524",0,0,0,0,0,0,55,0,0,0,0,0,0,0,24,0,0,0
"ASV530",19,0,0,31,0,0,0,0,0,0,0,0,0,28,0,0,0,0
"ASV531",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,67
"ASV532",0,0,0,0,0,0,0,22,56,0,0,0,0,0,0,0,0,0
"ASV537",0,47,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV538",0,0,0,0,0,0,0,0,0,25,0,0,10,0,0,8,21,0
"ASV556",0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,18
"ASV558",0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
"ASV562",20,0,0,27,0,20,0,0,0,0,0,0,0,0,0,0,0,7
"ASV563",0,0,0,0,0,0,0,51,23,0,0,0,0,0,0,0,0,0
"ASV566",0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,8,0,0
"ASV569",8,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV570",0,0,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"ASV571",0,0,0,0,0,0,0,0,0,19,0,5,0,0,0,14,12,0
"ASV572",0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,46,0,0
"ASV573",0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,19
"ASV575",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"ASV585",7,27,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV586",0,19,0,0,0,6,0,0,0,0,46,0,0,0,0,0,0,0
"ASV588",0,0,0,0,0,9,0,16,0,0,0,0,0,0,0,0,0,46
"ASV589",0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
"ASV591",22,14,0,16,0,18,0,0,0,0,0,0,0,0,0,0,0,0
"ASV593",0,0,0,0,0,42,0,28,0,0,0,0,0,0,0,0,0,0
"ASV594",0,0,0,0,0,0,0,11,0,0,59,0,0,0,0,0,0,0
"ASV600",0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,21
"ASV602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0
"ASV605",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"ASV606",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,53
"ASV607",0,0,0,0,0,6,0,0,0,0,62,0,0,0,0,0,0,0
"ASV608",0,0,0,0,0,0,24,44,0,0,0,0,0,0,0,0,0,0
"ASV612",0,13,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,21
"ASV614",0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,19
"ASV615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"ASV618",0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,28
"ASV619",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,52
"ASV621",0,15,0,0,0,14,0,0,0,0,0,0,0,37,0,0,0,0
"ASV629",0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,30
"ASV632",0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"ASV641",0,0,0,0,0,0,0,0,0,0,33,0,0,12,20,0,0,0
"ASV643",10,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0
"ASV645",0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,19,11
"ASV647",0,0,0,0,0,0,0,11,0,0,0,0,0,53,0,0,0,0
"ASV652",39,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV655",0,0,0,0,0,15,16,0,0,0,0,0,0,0,0,0,0,13
"ASV662",7,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,17
"ASV663",0,0,0,0,0,40,22,0,0,0,0,0,0,0,0,0,0,0
"ASV665",0,0,0,0,0,0,0,0,0,9,0,6,9,0,0,3,6,24
"ASV672",0,9,0,0,11,23,0,0,0,0,0,0,0,0,18,0,0,0
"ASV673",0,4,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0
"ASV674",0,0,0,8,0,0,0,13,0,0,0,0,0,0,0,0,0,40
"ASV675",0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,37
"ASV677",0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"ASV678",0,0,0,0,0,0,0,33,0,0,0,0,0,28,0,0,0,0
"ASV695",0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,45
"ASV703",0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,0,0,0
"ASV713",28,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0
"ASV714",0,8,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,28
"ASV715",0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"ASV716",0,0,0,0,0,7,0,38,0,0,0,0,0,0,0,0,0,12
"ASV718",0,0,0,0,0,0,44,0,0,0,0,0,0,0,13,0,0,0
"ASV728",10,18,0,8,15,5,0,0,0,0,0,0,0,0,0,0,0,0
"ASV733",0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,34
"ASV737",0,0,0,0,0,0,0,0,0,23,0,16,16,0,0,0,0,0
"ASV744",0,0,0,26,0,0,25,0,0,0,0,0,0,0,0,0,0,0
"ASV745",0,0,0,0,8,0,0,0,0,0,0,0,0,9,0,0,0,37
"ASV751",0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"ASV759",12,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,11,0
"ASV760",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
"ASV762",0,24,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,11
"ASV763",0,0,28,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
"ASV773",0,0,0,0,0,0,0,0,0,26,0,0,26,0,0,0,0,0
"ASV776",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,32,0
"ASV784",0,6,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,9
"ASV785",0,0,0,0,0,0,28,0,0,0,0,0,9,0,0,7,0,0
"ASV787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV806",18,19,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"ASV807",8,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,27
"ASV808",0,0,9,24,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"ASV809",0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,26
"ASV810",0,0,0,0,0,24,0,0,25,0,0,0,0,0,0,0,0,0
"ASV811",0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
"ASV819",0,6,0,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV822",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,43
"ASV832",13,12,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0
"ASV833",3,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0
"ASV835",0,0,0,8,4,0,0,0,35,0,0,0,0,0,0,0,0,0
"ASV836",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,42
"ASV850",15,8,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
"ASV851",0,0,0,0,18,12,0,0,0,0,0,0,0,0,0,0,0,16
"ASV853",0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,23
"ASV864",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"ASV865",0,0,0,0,0,0,0,0,0,13,0,0,12,0,0,0,8,0
"ASV868",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV869",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,36
"ASV873",0,0,0,10,0,0,0,0,0,0,0,0,0,0,34,0,0,0
"ASV884",9,0,5,12,8,9,0,0,0,0,0,0,0,0,0,0,0,0
"ASV888",0,0,0,0,0,0,0,18,25,0,0,0,0,0,0,0,0,0
"ASV898",0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,21
"ASV906",23,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"ASV907",23,0,10,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"ASV908",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"ASV921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,10
"ASV925",21,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,14
"ASV926",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"ASV930",0,0,0,0,0,0,0,17,0,6,0,0,11,0,0,0,7,0
"ASV942",16,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV943",0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,6,0
"ASV950",0,0,0,0,0,0,0,0,0,14,0,8,10,0,0,0,0,0
"ASV951",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,26
"ASV959",9,8,0,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0
"ASV960",0,0,0,0,7,0,0,16,0,0,0,0,0,0,0,0,0,16
"ASV963",0,0,0,0,0,0,0,0,0,6,0,1,2,0,0,7,0,0
"ASV982",0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
"ASV983",0,0,0,0,0,0,13,0,25,0,0,0,0,0,0,0,0,0
"ASV984",0,0,0,0,0,0,0,6,32,0,0,0,0,0,0,0,0,0
"ASV990",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,26
"ASV991",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
"ASV997",8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,18
"ASV998",0,0,0,0,18,0,0,0,0,0,0,0,0,0,19,0,0,0
"ASV999",0,0,0,0,3,0,0,0,0,0,0,0,0,34,0,0,0,0
"ASV1002",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,29
"ASV1003",0,0,0,0,0,5,0,0,0,0,20,0,0,0,0,0,0,12
"ASV1027",17,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1028",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"ASV1029",14,0,0,0,0,17,0,0,0,0,0,0,0,5,0,0,0,0
"ASV1031",0,0,0,0,0,0,21,0,15,0,0,0,0,0,0,0,0,0
"ASV1039",0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,0,0,0
"ASV1046",0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"ASV1047",0,16,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1048",0,0,15,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
"ASV1049",0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"ASV1051",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"ASV1055",0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,16
"ASV1067",0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,17,0,0
"ASV1081",27,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1083",0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,15
"ASV1084",0,0,0,0,9,21,0,0,0,0,0,0,0,0,0,0,0,4
"ASV1085",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,14
"ASV1091",0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,1
"ASV1106",14,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1107",10,0,5,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1108",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"ASV1109",0,0,0,0,0,12,0,0,21,0,0,0,0,0,0,0,0,0
"ASV1116",0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,9
"ASV1118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,17
"ASV1122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18
"ASV1131",17,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1132",13,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1133",13,12,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"ASV1134",10,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1136",0,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1137",0,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,9
"ASV1138",0,0,0,0,0,0,0,0,0,5,0,6,0,0,6,0,0,0
"ASV1155",8,0,9,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1156",0,12,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0,1
"ASV1163",0,0,0,0,0,0,0,8,0,0,0,0,0,23,0,0,0,0
"ASV1179",14,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1180",0,10,13,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1184",0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,3,4,0
"ASV1187",0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
"ASV1188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"ASV1206",0,6,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1208",0,0,0,18,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1211",0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
"ASV1214",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,18
"ASV1231",0,8,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1232",0,5,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1233",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,21
"ASV1236",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14,0
"ASV1241",0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
"ASV1248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"ASV1259",24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1260",20,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1261",0,14,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1262",0,12,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1267",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,22
"ASV1275",0,0,0,0,0,0,13,0,0,0,14,0,0,0,0,0,0,0
"ASV1317",13,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1318",0,17,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1321",0,0,0,12,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"ASV1329",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,11,0
"ASV1355",7,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1357",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"ASV1381",0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1382",0,12,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1384",0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1392",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,18
"ASV1397",0,0,0,0,0,0,0,11,0,7,0,0,0,0,0,0,0,0
"ASV1400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0
"ASV1426",20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1427",18,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1429",0,0,13,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1432",0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"ASV1438",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
"ASV1443",0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,6,0,0
"ASV1470",7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"ASV1473",0,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1485",0,0,0,0,0,0,0,0,0,7,0,0,14,0,0,0,0,0
"ASV1514",11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1515",5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12
"ASV1516",0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1520",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15
"ASV1552",0,11,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1553",0,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1560",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,13
"ASV1561",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,13
"ASV1594",2,0,8,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1596",0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1612",0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,0,0,0
"ASV1659",0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,5
"ASV1670",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11
"ASV1698",13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1702",0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1724",0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,5,0
"ASV1752",12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1758",0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1766",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9
"ASV1785",0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0
"ASV1787",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,0
"ASV1810",8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1811",8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1812",7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1813",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"ASV1814",6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1826",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8
"ASV1827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"ASV1828",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0
"ASV1877",5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1878",0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"ASV1890",0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,1,0,0
"ASV1921",9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1922",5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1923",0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1927",0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"ASV2001",7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2016",0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2085",4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2087",0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ASV2178",5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2179",2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2184",0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2186",0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2187",0,2,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2235",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"ASV2283",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2306",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"ASV2361",3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2369",0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2370",0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2388",0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2471",3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2710",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
